police_deployed,total_cases,closure_rate
1,2088,0.4918582375478927
2,2153,0.4993032977241059
3,2119,0.5068428504011326
4,2063,0.49054774600096945
5,2065,0.5036319612590799
6,2139,0.5217391304347826
7,2057,0.4914924647544968
8,2150,0.5060465116279069
9,2141,0.4983652498832321
10,2150,0.4944186046511628
11,2105,0.49121140142517816
12,2145,0.5193473193473194
13,2129,0.49882573978393613
14,2104,0.49049429657794674
15,2166,0.5036934441366574
16,2077,0.49831487722676937
17,2106,0.49382716049382713
18,2088,0.4932950191570881
19,2115,0.49692671394799054
