,report_number,date_reported,date_of_occurrence,time_of_occurrence,city,crime_code,crime_description,victim_age,victim_gender,weapon_used,crime_domain,police_deployed,case_closed,date_case_closed,case_closed_flag,case_resolution_days,victim_age_group
2,3,2020-02-01 05:00:00,2020-01-01 02:00:00,01-01-20 14:30,Ludhiana,271,KIDNAPPING,48,F,Blunt Object,Other Crime,15,No,,0,,Middle Aged
3,4,2020-01-01 05:00:00,2020-01-01 03:00:00,01-01-20 14:46,Pune,170,BURGLARY,49,F,Firearm,Other Crime,1,Yes,2020-04-29 05:00:00,1,119.0,Middle Aged
4,5,2020-01-01 21:00:00,2020-01-01 04:00:00,01-01-20 16:51,Pune,421,VANDALISM,30,F,Other,Other Crime,18,Yes,2020-08-01 21:00:00,1,213.0,Young Adult
6,7,2020-01-01 16:00:00,2020-01-01 06:00:00,01-01-20 14:08,Chennai,172,VEHICLE - STOLEN,64,F,Knife,Violent Crime,13,Yes,2020-03-24 16:00:00,1,83.0,Senior
12,13,2020-01-01 16:00:00,2020-01-01 12:00:00,01-01-20 23:14,Visakhapatnam,498,FRAUD,36,F,Poison,Other Crime,3,Yes,2020-02-29 16:00:00,1,59.0,Adult
14,15,2020-02-01 00:00:00,2020-01-01 14:00:00,01-01-20 22:28,Bangalore,266,SEXUAL ASSAULT,77,F,UNKNOWN,Violent Crime,19,No,,0,,Senior
15,16,2020-02-01 07:00:00,2020-01-01 15:00:00,01-01-20 18:54,Kolkata,357,COUNTERFEITING,51,F,Explosives,Other Crime,16,Yes,2020-03-30 07:00:00,1,58.0,Middle Aged
17,18,2020-04-01 02:00:00,2020-01-01 17:00:00,01-01-20 23:09,Pune,342,ARSON,64,F,Other,Fire Accident,2,No,,0,,Senior
19,20,2020-03-01 18:00:00,2020-01-01 19:00:00,02-01-20 18:02,Bangalore,369,EXTORTION,62,F,Blunt Object,Other Crime,2,Yes,2020-05-03 18:00:00,1,63.0,Senior
20,21,2020-03-01 22:00:00,2020-01-01 20:00:00,02-01-20 2:33,Hyderabad,251,TRAFFIC VIOLATION,50,F,Poison,Traffic Fatality,14,Yes,2020-01-22 22:00:00,1,-39.0,Middle Aged
21,22,2020-03-01 12:00:00,2020-01-01 21:00:00,02-01-20 10:11,Mumbai,374,VANDALISM,64,F,Other,Other Crime,15,Yes,2020-03-03 12:00:00,1,2.0,Senior
22,23,2020-02-01 10:00:00,2020-01-01 22:00:00,01-01-20 22:03,Jaipur,507,SHOPLIFTING,69,F,Blunt Object,Other Crime,13,No,,0,,Senior
23,24,2020-03-01 09:00:00,2020-01-01 23:00:00,01-01-20 23:40,Chennai,322,VANDALISM,77,F,Other,Other Crime,18,No,,0,,Senior
24,25,2020-03-01 01:00:00,2020-01-02 00:00:00,02-01-20 20:47,Bangalore,527,DRUG OFFENSE,18,F,Other,Other Crime,1,No,,0,,Young Adult
27,28,2020-02-01 15:00:00,2020-01-02 03:00:00,02-01-20 20:11,Lucknow,489,PUBLIC INTOXICATION,41,F,UNKNOWN,Other Crime,7,No,,0,,Adult
28,29,2020-04-01 14:00:00,2020-01-02 04:00:00,02-01-20 19:56,Bangalore,387,VANDALISM,33,F,Explosives,Other Crime,19,No,,0,,Adult
29,30,2020-04-01 23:00:00,2020-01-02 05:00:00,02-01-20 9:35,Bhopal,517,BURGLARY,37,F,UNKNOWN,Other Crime,4,No,,0,,Adult
30,31,2020-03-01 07:00:00,2020-01-02 06:00:00,02-01-20 13:06,Bhopal,570,HOMICIDE,32,F,Explosives,Other Crime,13,No,,0,,Adult
32,33,2020-03-01 04:00:00,2020-01-02 08:00:00,03-01-20 3:01,Delhi,319,ILLEGAL POSSESSION,73,F,Knife,Other Crime,19,No,,0,,Senior
33,34,2020-05-01 07:00:00,2020-01-02 09:00:00,03-01-20 2:40,Patna,575,VEHICLE - STOLEN,24,F,Explosives,Violent Crime,6,No,,0,,Young Adult
34,35,2020-04-01 21:00:00,2020-01-02 10:00:00,02-01-20 22:18,Kanpur,341,VANDALISM,34,F,Other,Other Crime,14,No,,0,,Adult
35,36,2020-04-01 21:00:00,2020-01-02 11:00:00,02-01-20 17:48,Chennai,396,COUNTERFEITING,32,F,Blunt Object,Other Crime,11,No,,0,,Adult
36,37,2020-03-01 05:00:00,2020-01-02 12:00:00,03-01-20 0:18,Lucknow,187,SEXUAL ASSAULT,33,F,Blunt Object,Violent Crime,9,Yes,2020-02-07 05:00:00,1,-23.0,Adult
37,38,2020-04-01 05:00:00,2020-01-02 13:00:00,02-01-20 18:04,Varanasi,280,SHOPLIFTING,22,F,Explosives,Other Crime,14,No,,0,,Young Adult
38,39,2020-03-01 23:00:00,2020-01-02 14:00:00,02-01-20 21:24,Surat,487,VEHICLE - STOLEN,32,F,UNKNOWN,Violent Crime,13,Yes,2020-11-03 23:00:00,1,247.0,Adult
39,40,2020-03-01 02:00:00,2020-01-02 15:00:00,03-01-20 14:05,Mumbai,154,FRAUD,69,F,Explosives,Other Crime,10,Yes,2020-01-15 02:00:00,1,-46.0,Senior
40,41,2020-05-01 01:00:00,2020-01-02 16:00:00,03-01-20 1:51,Visakhapatnam,148,HOMICIDE,28,F,Firearm,Other Crime,2,No,,0,,Young Adult
44,45,2020-05-01 19:00:00,2020-01-02 20:00:00,03-01-20 6:22,Kolkata,387,ARSON,44,F,Blunt Object,Fire Accident,10,Yes,2020-12-01 19:00:00,1,214.0,Adult
46,47,2020-05-01 04:00:00,2020-01-02 22:00:00,03-01-20 9:55,Delhi,555,ROBBERY,47,F,UNKNOWN,Violent Crime,9,No,,0,,Middle Aged
47,48,2020-05-01 17:00:00,2020-01-02 23:00:00,03-01-20 3:42,Lucknow,128,FIREARM OFFENSE,38,F,Blunt Object,Fire Accident,14,Yes,2020-03-14 17:00:00,1,-48.0,Adult
48,49,2020-05-01 19:00:00,2020-01-03 00:00:00,03-01-20 2:59,Jaipur,139,ILLEGAL POSSESSION,77,F,Firearm,Other Crime,17,No,,0,,Senior
49,50,2020-03-01 13:00:00,2020-01-03 01:00:00,03-01-20 6:06,Hyderabad,561,DRUG OFFENSE,37,F,Blunt Object,Other Crime,7,No,,0,,Adult
50,51,2020-03-01 05:00:00,2020-01-03 02:00:00,03-01-20 17:10,Nagpur,573,BURGLARY,54,F,Other,Other Crime,12,Yes,2020-04-13 05:00:00,1,43.0,Middle Aged
51,52,2020-05-01 12:00:00,2020-01-03 03:00:00,03-01-20 19:13,Kolkata,260,BURGLARY,38,F,Blunt Object,Other Crime,5,Yes,2020-04-14 12:00:00,1,-17.0,Adult
54,55,2020-06-01 02:00:00,2020-01-03 06:00:00,03-01-20 7:47,Pune,548,FIREARM OFFENSE,61,F,Poison,Fire Accident,5,No,,0,,Senior
55,56,2020-04-01 04:00:00,2020-01-03 07:00:00,03-01-20 11:11,Meerut,596,BURGLARY,49,F,UNKNOWN,Other Crime,19,No,,0,,Middle Aged
56,57,2020-06-01 01:00:00,2020-01-03 08:00:00,03-01-20 20:16,Kanpur,188,SEXUAL ASSAULT,67,F,Firearm,Violent Crime,8,Yes,2020-07-20 01:00:00,1,49.0,Senior
57,58,2020-03-01 18:00:00,2020-01-03 09:00:00,03-01-20 9:43,Ahmedabad,110,ASSAULT,70,F,UNKNOWN,Violent Crime,15,No,,0,,Senior
58,59,2020-04-01 14:00:00,2020-01-03 10:00:00,04-01-20 2:40,Chennai,449,TRAFFIC VIOLATION,75,F,Blunt Object,Traffic Fatality,16,No,,0,,Senior
59,60,2020-05-01 18:00:00,2020-01-03 11:00:00,04-01-20 5:33,Thane,352,SHOPLIFTING,53,F,Other,Other Crime,6,Yes,2020-03-31 18:00:00,1,-31.0,Middle Aged
63,64,2020-06-01 06:00:00,2020-01-03 15:00:00,03-01-20 23:24,Thane,259,ILLEGAL POSSESSION,19,F,Blunt Object,Other Crime,16,Yes,2020-03-20 06:00:00,1,-73.0,Young Adult
64,65,2020-05-01 18:00:00,2020-01-03 16:00:00,04-01-20 0:59,Visakhapatnam,289,DRUG OFFENSE,58,F,Explosives,Other Crime,19,No,,0,,Middle Aged
65,66,2020-06-01 14:00:00,2020-01-03 17:00:00,04-01-20 11:49,Lucknow,409,EXTORTION,45,F,Other,Other Crime,3,Yes,2020-03-15 14:00:00,1,-78.0,Adult
68,69,2020-06-01 09:00:00,2020-01-03 20:00:00,04-01-20 2:24,Hyderabad,469,PUBLIC INTOXICATION,59,F,Explosives,Other Crime,8,Yes,2020-01-17 09:00:00,1,-136.0,Middle Aged
69,70,2020-06-01 12:00:00,2020-01-03 21:00:00,04-01-20 17:23,Visakhapatnam,292,FIREARM OFFENSE,31,F,Firearm,Fire Accident,1,No,,0,,Adult
70,71,2020-06-01 20:00:00,2020-01-03 22:00:00,04-01-20 0:50,Kolkata,512,FIREARM OFFENSE,58,F,Poison,Fire Accident,6,No,,0,,Middle Aged
71,72,2020-05-01 18:00:00,2020-01-03 23:00:00,04-01-20 11:34,Nagpur,244,ARSON,53,F,Knife,Fire Accident,1,Yes,2020-03-23 18:00:00,1,-39.0,Middle Aged
72,73,2020-05-01 21:00:00,2020-01-04 00:00:00,04-01-20 7:58,Lucknow,269,BURGLARY,35,F,Blunt Object,Other Crime,2,No,,0,,Adult
74,75,2020-05-01 02:00:00,2020-01-04 02:00:00,05-01-20 1:45,Ahmedabad,404,CYBERCRIME,70,F,Knife,Other Crime,18,No,,0,,Senior
76,77,2020-04-01 22:00:00,2020-01-04 04:00:00,04-01-20 14:30,Mumbai,369,KIDNAPPING,25,F,Explosives,Other Crime,14,No,,0,,Young Adult
77,78,2020-05-01 21:00:00,2020-01-04 05:00:00,04-01-20 17:02,Indore,517,IDENTITY THEFT,58,F,Knife,Violent Crime,10,Yes,2020-03-29 21:00:00,1,-33.0,Middle Aged
