report_number,date_reported,date_of_occurrence,time_of_occurrence,city,crime_code,crime_description,victim_age,victim_gender,weapon_used,crime_domain,police_deployed,case_closed,date_case_closed,case_closed_flag,case_resolution_days,victim_age_group
1,2020-02-01 00:00:00,2020-01-01 00:00:00,01-01-20 1:11,Ahmedabad,576,IDENTITY THEFT,16,M,Blunt Object,Violent Crime,13,No,,0,,Minor
2,2020-01-01 19:00:00,2020-01-01 01:00:00,01-01-20 6:26,Chennai,128,HOMICIDE,37,M,Poison,Other Crime,9,No,,0,,Adult
3,2020-02-01 05:00:00,2020-01-01 02:00:00,01-01-20 14:30,Ludhiana,271,KIDNAPPING,48,F,Blunt Object,Other Crime,15,No,,0,,Middle Aged
4,2020-01-01 05:00:00,2020-01-01 03:00:00,01-01-20 14:46,Pune,170,BURGLARY,49,F,Firearm,Other Crime,1,Yes,2020-04-29 05:00:00,1,119.0,Middle Aged
5,2020-01-01 21:00:00,2020-01-01 04:00:00,01-01-20 16:51,Pune,421,VANDALISM,30,F,Other,Other Crime,18,Yes,2020-08-01 21:00:00,1,213.0,Young Adult
6,2020-02-01 03:00:00,2020-01-01 05:00:00,01-01-20 17:09,Delhi,442,ASSAULT,16,M,Firearm,Violent Crime,18,Yes,2020-03-30 03:00:00,1,58.0,Minor
7,2020-01-01 16:00:00,2020-01-01 06:00:00,01-01-20 14:08,Chennai,172,VEHICLE - STOLEN,64,F,Knife,Violent Crime,13,Yes,2020-03-24 16:00:00,1,83.0,Senior
8,2020-02-01 10:00:00,2020-01-01 07:00:00,02-01-20 6:33,Chennai,169,COUNTERFEITING,78,X,Knife,Other Crime,8,No,,0,,Senior
9,2020-04-01 03:00:00,2020-01-01 08:00:00,02-01-20 6:34,Mumbai,338,EXTORTION,41,X,Blunt Object,Other Crime,1,No,,0,,Adult
10,2020-03-01 07:00:00,2020-01-01 09:00:00,01-01-20 17:50,Chennai,497,PUBLIC INTOXICATION,29,M,Knife,Other Crime,4,No,,0,,Young Adult
11,2020-02-01 13:00:00,2020-01-01 10:00:00,01-01-20 19:42,Delhi,260,FRAUD,71,M,Explosives,Other Crime,5,Yes,2020-01-02 13:00:00,1,-30.0,Senior
12,2020-03-01 09:00:00,2020-01-01 11:00:00,01-01-20 22:16,Surat,563,IDENTITY THEFT,26,M,Poison,Violent Crime,3,No,,0,,Young Adult
13,2020-01-01 16:00:00,2020-01-01 12:00:00,01-01-20 23:14,Visakhapatnam,498,FRAUD,36,F,Poison,Other Crime,3,Yes,2020-02-29 16:00:00,1,59.0,Adult
14,2020-02-01 22:00:00,2020-01-01 13:00:00,01-01-20 17:46,Mumbai,436,ASSAULT,32,X,UNKNOWN,Violent Crime,18,No,,0,,Adult
15,2020-02-01 00:00:00,2020-01-01 14:00:00,01-01-20 22:28,Bangalore,266,SEXUAL ASSAULT,77,F,UNKNOWN,Violent Crime,19,No,,0,,Senior
16,2020-02-01 07:00:00,2020-01-01 15:00:00,01-01-20 18:54,Kolkata,357,COUNTERFEITING,51,F,Explosives,Other Crime,16,Yes,2020-03-30 07:00:00,1,58.0,Middle Aged
17,2020-03-01 07:00:00,2020-01-01 16:00:00,02-01-20 2:57,Ghaziabad,509,DRUG OFFENSE,61,M,Poison,Other Crime,6,No,,0,,Senior
18,2020-04-01 02:00:00,2020-01-01 17:00:00,01-01-20 23:09,Pune,342,ARSON,64,F,Other,Fire Accident,2,No,,0,,Senior
19,2020-02-01 20:00:00,2020-01-01 18:00:00,02-01-20 10:42,Bangalore,480,CYBERCRIME,11,M,UNKNOWN,Other Crime,3,Yes,2020-01-24 20:00:00,1,-8.0,Minor
20,2020-03-01 18:00:00,2020-01-01 19:00:00,02-01-20 18:02,Bangalore,369,EXTORTION,62,F,Blunt Object,Other Crime,2,Yes,2020-05-03 18:00:00,1,63.0,Senior
21,2020-03-01 22:00:00,2020-01-01 20:00:00,02-01-20 2:33,Hyderabad,251,TRAFFIC VIOLATION,50,F,Poison,Traffic Fatality,14,Yes,2020-01-22 22:00:00,1,-39.0,Middle Aged
22,2020-03-01 12:00:00,2020-01-01 21:00:00,02-01-20 10:11,Mumbai,374,VANDALISM,64,F,Other,Other Crime,15,Yes,2020-03-03 12:00:00,1,2.0,Senior
23,2020-02-01 10:00:00,2020-01-01 22:00:00,01-01-20 22:03,Jaipur,507,SHOPLIFTING,69,F,Blunt Object,Other Crime,13,No,,0,,Senior
24,2020-03-01 09:00:00,2020-01-01 23:00:00,01-01-20 23:40,Chennai,322,VANDALISM,77,F,Other,Other Crime,18,No,,0,,Senior
25,2020-03-01 01:00:00,2020-01-02 00:00:00,02-01-20 20:47,Bangalore,527,DRUG OFFENSE,18,F,Other,Other Crime,1,No,,0,,Young Adult
26,2020-02-01 16:00:00,2020-01-02 01:00:00,02-01-20 8:21,Jaipur,282,ASSAULT,60,M,Firearm,Violent Crime,15,Yes,2020-12-03 16:00:00,1,306.0,Middle Aged
27,2020-02-01 06:00:00,2020-01-02 02:00:00,02-01-20 4:02,Pune,247,IDENTITY THEFT,49,M,Blunt Object,Violent Crime,13,No,,0,,Middle Aged
28,2020-02-01 15:00:00,2020-01-02 03:00:00,02-01-20 20:11,Lucknow,489,PUBLIC INTOXICATION,41,F,UNKNOWN,Other Crime,7,No,,0,,Adult
29,2020-04-01 14:00:00,2020-01-02 04:00:00,02-01-20 19:56,Bangalore,387,VANDALISM,33,F,Explosives,Other Crime,19,No,,0,,Adult
30,2020-04-01 23:00:00,2020-01-02 05:00:00,02-01-20 9:35,Bhopal,517,BURGLARY,37,F,UNKNOWN,Other Crime,4,No,,0,,Adult
31,2020-03-01 07:00:00,2020-01-02 06:00:00,02-01-20 13:06,Bhopal,570,HOMICIDE,32,F,Explosives,Other Crime,13,No,,0,,Adult
32,2020-04-01 13:00:00,2020-01-02 07:00:00,02-01-20 15:05,Hyderabad,222,VANDALISM,60,M,Knife,Other Crime,3,Yes,2020-03-18 13:00:00,1,-14.0,Middle Aged
33,2020-03-01 04:00:00,2020-01-02 08:00:00,03-01-20 3:01,Delhi,319,ILLEGAL POSSESSION,73,F,Knife,Other Crime,19,No,,0,,Senior
34,2020-05-01 07:00:00,2020-01-02 09:00:00,03-01-20 2:40,Patna,575,VEHICLE - STOLEN,24,F,Explosives,Violent Crime,6,No,,0,,Young Adult
35,2020-04-01 21:00:00,2020-01-02 10:00:00,02-01-20 22:18,Kanpur,341,VANDALISM,34,F,Other,Other Crime,14,No,,0,,Adult
36,2020-04-01 21:00:00,2020-01-02 11:00:00,02-01-20 17:48,Chennai,396,COUNTERFEITING,32,F,Blunt Object,Other Crime,11,No,,0,,Adult
37,2020-03-01 05:00:00,2020-01-02 12:00:00,03-01-20 0:18,Lucknow,187,SEXUAL ASSAULT,33,F,Blunt Object,Violent Crime,9,Yes,2020-02-07 05:00:00,1,-23.0,Adult
38,2020-04-01 05:00:00,2020-01-02 13:00:00,02-01-20 18:04,Varanasi,280,SHOPLIFTING,22,F,Explosives,Other Crime,14,No,,0,,Young Adult
39,2020-03-01 23:00:00,2020-01-02 14:00:00,02-01-20 21:24,Surat,487,VEHICLE - STOLEN,32,F,UNKNOWN,Violent Crime,13,Yes,2020-11-03 23:00:00,1,247.0,Adult
40,2020-03-01 02:00:00,2020-01-02 15:00:00,03-01-20 14:05,Mumbai,154,FRAUD,69,F,Explosives,Other Crime,10,Yes,2020-01-15 02:00:00,1,-46.0,Senior
41,2020-05-01 01:00:00,2020-01-02 16:00:00,03-01-20 1:51,Visakhapatnam,148,HOMICIDE,28,F,Firearm,Other Crime,2,No,,0,,Young Adult
42,2020-03-01 11:00:00,2020-01-02 17:00:00,03-01-20 11:09,Surat,583,ILLEGAL POSSESSION,42,M,Blunt Object,Other Crime,6,No,,0,,Adult
43,2020-03-01 03:00:00,2020-01-02 18:00:00,03-01-20 9:30,Delhi,172,FIREARM OFFENSE,40,M,Poison,Fire Accident,10,Yes,2020-03-17 03:00:00,1,16.0,Adult
44,2020-04-01 07:00:00,2020-01-02 19:00:00,03-01-20 8:34,Mumbai,300,SEXUAL ASSAULT,44,M,Other,Violent Crime,7,No,,0,,Adult
45,2020-05-01 19:00:00,2020-01-02 20:00:00,03-01-20 6:22,Kolkata,387,ARSON,44,F,Blunt Object,Fire Accident,10,Yes,2020-12-01 19:00:00,1,214.0,Adult
46,2020-04-01 19:00:00,2020-01-02 21:00:00,03-01-20 9:02,Patna,297,DRUG OFFENSE,67,M,Knife,Other Crime,8,No,,0,,Senior
47,2020-05-01 04:00:00,2020-01-02 22:00:00,03-01-20 9:55,Delhi,555,ROBBERY,47,F,UNKNOWN,Violent Crime,9,No,,0,,Middle Aged
48,2020-05-01 17:00:00,2020-01-02 23:00:00,03-01-20 3:42,Lucknow,128,FIREARM OFFENSE,38,F,Blunt Object,Fire Accident,14,Yes,2020-03-14 17:00:00,1,-48.0,Adult
49,2020-05-01 19:00:00,2020-01-03 00:00:00,03-01-20 2:59,Jaipur,139,ILLEGAL POSSESSION,77,F,Firearm,Other Crime,17,No,,0,,Senior
50,2020-03-01 13:00:00,2020-01-03 01:00:00,03-01-20 6:06,Hyderabad,561,DRUG OFFENSE,37,F,Blunt Object,Other Crime,7,No,,0,,Adult
51,2020-03-01 05:00:00,2020-01-03 02:00:00,03-01-20 17:10,Nagpur,573,BURGLARY,54,F,Other,Other Crime,12,Yes,2020-04-13 05:00:00,1,43.0,Middle Aged
52,2020-05-01 12:00:00,2020-01-03 03:00:00,03-01-20 19:13,Kolkata,260,BURGLARY,38,F,Blunt Object,Other Crime,5,Yes,2020-04-14 12:00:00,1,-17.0,Adult
53,2020-05-01 00:00:00,2020-01-03 04:00:00,03-01-20 22:01,Ghaziabad,211,PUBLIC INTOXICATION,29,M,Poison,Other Crime,15,Yes,2020-01-20 00:00:00,1,-102.0,Young Adult
