,report_number,date_reported,date_of_occurrence,city,crime_domain,crime_description,victim_age,victim_age_group,victim_gender,weapon_used,police_deployed,case_closed_flag,case_resolution_days
0,1,2020-02-01 00:00:00,2020-01-01 00:00:00,Ahmedabad,Violent Crime,IDENTITY THEFT,16,Minor,M,Blunt Object,13,0,
1,2,2020-01-01 19:00:00,2020-01-01 01:00:00,Chennai,Other Crime,HOMICIDE,37,Adult,M,Poison,9,0,
2,3,2020-02-01 05:00:00,2020-01-01 02:00:00,Ludhiana,Other Crime,KIDNAPPING,48,Middle Aged,F,Blunt Object,15,0,
3,4,2020-01-01 05:00:00,2020-01-01 03:00:00,Pune,Other Crime,BURGLARY,49,Middle Aged,F,Firearm,1,1,119.0
4,5,2020-01-01 21:00:00,2020-01-01 04:00:00,Pune,Other Crime,VANDALISM,30,Young Adult,F,Other,18,1,213.0
5,6,2020-02-01 03:00:00,2020-01-01 05:00:00,Delhi,Violent Crime,ASSAULT,16,Minor,M,Firearm,18,1,58.0
6,7,2020-01-01 16:00:00,2020-01-01 06:00:00,Chennai,Violent Crime,VEHICLE - STOLEN,64,Senior,F,Knife,13,1,83.0
7,8,2020-02-01 10:00:00,2020-01-01 07:00:00,Chennai,Other Crime,COUNTERFEITING,78,Senior,X,Knife,8,0,
8,9,2020-04-01 03:00:00,2020-01-01 08:00:00,Mumbai,Other Crime,EXTORTION,41,Adult,X,Blunt Object,1,0,
9,10,2020-03-01 07:00:00,2020-01-01 09:00:00,Chennai,Other Crime,PUBLIC INTOXICATION,29,Young Adult,M,Knife,4,0,
10,11,2020-02-01 13:00:00,2020-01-01 10:00:00,Delhi,Other Crime,FRAUD,71,Senior,M,Explosives,5,1,-30.0
11,12,2020-03-01 09:00:00,2020-01-01 11:00:00,Surat,Violent Crime,IDENTITY THEFT,26,Young Adult,M,Poison,3,0,
12,13,2020-01-01 16:00:00,2020-01-01 12:00:00,Visakhapatnam,Other Crime,FRAUD,36,Adult,F,Poison,3,1,59.0
13,14,2020-02-01 22:00:00,2020-01-01 13:00:00,Mumbai,Violent Crime,ASSAULT,32,Adult,X,UNKNOWN,18,0,
14,15,2020-02-01 00:00:00,2020-01-01 14:00:00,Bangalore,Violent Crime,SEXUAL ASSAULT,77,Senior,F,UNKNOWN,19,0,
15,16,2020-02-01 07:00:00,2020-01-01 15:00:00,Kolkata,Other Crime,COUNTERFEITING,51,Middle Aged,F,Explosives,16,1,58.0
16,17,2020-03-01 07:00:00,2020-01-01 16:00:00,Ghaziabad,Other Crime,DRUG OFFENSE,61,Senior,M,Poison,6,0,
17,18,2020-04-01 02:00:00,2020-01-01 17:00:00,Pune,Fire Accident,ARSON,64,Senior,F,Other,2,0,
