state_ut,1991 - Male,1991 - Female,1991 - Persons,2001 - Male,2001 - Female,2001 - Persons,2011 - Rural - Male,2011 - Rural - Female,2011 - Rural - Person,2011 - Urban - Male,2011 - Urban - Female,2011 - Urban - Persons
ALL INDIA,52,64,39,65,75,54,77,58,68,89,79,84
ANDHRA PRADESH,44,55,33,61,70,50,69,52,60,86,74,80
ARUNACHAL PRADESH,42,52,30,54,64,44,67,52,60,88,77,83
ASSAM,53,62,43,63,71,55,75,63,69,92,85,89
BIHAR,38,51,22,47,60,33,70,49,60,83,71,77
CHHATISGARH,43,58,28,65,77,52,77,55,66,91,77,84
GOA,76,84,67,82,88,75,92,82,87,93,87,90
GUJARAT,61,73,49,69,80,58,82,61,72,91,81,86
HARYANA,56,69,41,68,79,56,82,60,71,89,77,83
HIMACHAL PRADESH,64,75,52,77,85,67,89,75,82,93,88,91
JAMMU AND KASHMIR,0,0,0,56,67,43,74,52,63,84,69,77
JHARKHAND,41,56,26,54,67,39,73,49,61,88,76,82
KARNATAKA,56,67,44,67,76,57,78,60,69,90,81,86
KERALA,90,94,86,91,94,88,95,91,93,97,93,95
MADHYA PRADESH,45,59,29,64,76,50,75,52,64,89,77,83
MAHARASHTRA,65,77,52,77,86,67,85,69,77,92,85,89
MANIPUR,60,72,48,71,80,61,83,69,76,92,79,85
MEGHALAYA,49,53,45,63,65,60,72,68,70,93,89,91
MIZORAM,82,86,79,89,91,87,88,80,84,98,97,98
NAGALAND,62,68,55,67,71,62,79,72,75,92,87,90
ODISHA,49,63,35,63,75,51,80,61,70,91,80,86
PUNJAB,59,66,50,70,75,63,77,66,71,87,79,83
RAJASTHAN,39,55,20,60,76,44,76,46,61,88,71,80
SIKKIM,57,66,47,69,76,60,85,72,79,92,85,89
TAMIL NADU,63,74,51,74,82,64,82,65,74,92,82,87
TRIPURA,60,71,50,73,81,65,90,80,85,96,91,94
UTTAR PRADESH,41,55,24,56,69,42,76,54,66,80,69,75
UTTARANCHAL,58,73,42,72,83,60,87,66,76,89,79,85
WEST BENGAL,58,68,47,69,77,60,79,66,72,88,81,85
A & N ISLANDS,73,79,66,81,86,75,89,80,85,93,87,90
CHANDIGARH,78,82,72,82,86,77,86,73,81,90,81,86
D. AND N. HAVELI,41,54,27,58,71,40,76,50,64,94,83,90
DAMAN AND DIU,71,83,59,78,87,66,89,72,82,92,83,89
DELHI,75,82,67,82,87,75,89,73,82,91,81,86
LAKSHADWEEP,82,90,73,87,93,81,95,89,92,96,88,92
