,sr_no,state_ut,working_judges,incharge_courts,link_courts,total_courts,empty_courts,invalid_jocode_count,courts_closed_cases_pending,court_vacancy_rate_pct,judges_per_court,temporary_court_ratio_pct
0,1,ANDAMAN AND NICOBAR,9,0,0,9,12,7,0,133.33333333333331,1.0,0.0
1,2,ANDHRA PRADESH,529,114,4,647,657,1,2  (3 ),101.54559505409581,0.8176197836166924,18.238021638330757
2,3,ARUNACHAL PRADESH,15,3,1,19,15,0,4  (33 ),78.94736842105263,0.7894736842105263,21.052631578947366
3,4,ASSAM,375,27,1,403,527,0,2  (10 ),130.76923076923077,0.9305210918114144,6.9478908188585615
4,5,BIHAR,1450,618,2,2070,3053,0,87  (1605 ),147.48792270531402,0.7004830917874396,29.951690821256037
5,6,CHANDIGARH,30,0,0,30,50,0,0,166.66666666666669,1.0,0.0
6,7,CHHATTISGARH,457,21,4,482,521,0,30  (59 ),108.09128630705393,0.9481327800829875,5.186721991701245
7,8,DELHI,682,36,0,718,746,0,9  (54 ),103.89972144846797,0.9498607242339833,5.013927576601671
8,9,DNH AT SILVASA,0,0,0,0,0,0,0,,,
9,10,GOA,44,19,0,63,73,0,0,115.87301587301589,0.6984126984126984,30.158730158730158
10,11,GUJARAT,1045,59,0,1104,1220,0,4  (4 ),110.5072463768116,0.9465579710144928,5.344202898550725
11,12,HARYANA,474,12,0,486,782,0,12  (21 ),160.90534979423867,0.9753086419753086,2.4691358024691357
12,13,HIMACHAL PRADESH,141,3,0,144,282,0,9  (38 ),195.83333333333331,0.9791666666666666,2.083333333333333
13,14,JAMMU AND KASHMIR,199,21,3,223,400,0,1  (24 ),179.37219730941706,0.8923766816143498,10.762331838565023
14,15,JHARKHAND,424,124,5,553,828,0,22  (51 ),149.72875226039784,0.7667269439421338,23.32730560578662
15,16,KARNATAKA,987,145,3,1135,1210,0,3  (3 ),106.6079295154185,0.8696035242290749,13.039647577092511
16,17,KERALA,563,17,2,582,795,35,20  (21 ),136.5979381443299,0.9673539518900344,3.264604810996564
17,18,LADAKH,7,2,0,9,14,4,0,155.55555555555557,0.7777777777777778,22.22222222222222
18,19,LAKSHADWEEP,3,0,0,3,5,0,0,166.66666666666669,1.0,0.0
19,20,MADHYA PRADESH,1788,30,7,1825,2190,0,50  (237 ),120.0,0.9797260273972602,2.0273972602739727
20,21,MAHARASHTRA,2192,96,19,2307,3173,0,18  (79 ),137.53792804508018,0.9501517121803208,4.984828781967924
21,22,MANIPUR,38,8,0,46,43,0,0,93.47826086956522,0.8260869565217391,17.391304347826086
22,23,MEGHALAYA,65,1,1,67,159,4,5  (21 ),237.3134328358209,0.9701492537313433,2.9850746268656714
23,24,MIZORAM,40,0,1,41,51,0,7  (290 ),124.39024390243902,0.975609756097561,2.4390243902439024
24,25,NAGALAND,16,9,1,26,30,0,0,115.38461538461537,0.6153846153846154,38.46153846153847
25,26,ODISHA,678,28,0,706,762,0,41  (129 ),107.93201133144477,0.9603399433427762,3.9660056657223794
26,27,PUDUCHERRY,27,8,0,35,34,0,0,97.14285714285714,0.7714285714285715,22.857142857142858
27,28,PUNJAB,640,13,3,656,1165,0,15  (29 ),177.59146341463415,0.975609756097561,2.4390243902439024
28,29,RAJASTHAN,1157,402,37,1596,2190,0,18  (22 ),137.21804511278194,0.724937343358396,27.506265664160402
29,30,SIKKIM,13,26,0,39,80,0,0,205.1282051282051,0.3333333333333333,66.66666666666666
30,31,TAMIL NADU,1138,227,6,1371,1377,0,8  (617 ),100.43763676148797,0.8300510576221736,16.99489423778264
31,32,TELANGANA,436,128,0,564,566,0,15  (2112 ),100.35460992907801,0.7730496453900709,22.69503546099291
32,33,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,8,0,0,8,14,4,0,175.0,1.0,0.0
33,34,TRIPURA,83,6,1,90,145,0,0,161.11111111111111,0.9222222222222223,7.777777777777778
34,35,UTTARAKHAND,233,29,0,262,383,0,2  (2 ),146.18320610687024,0.8893129770992366,11.068702290076336
35,36,UTTAR PRADESH,2352,864,32,3248,4137,0,35  (87 ),127.37068965517241,0.7241379310344828,27.586206896551722
36,37,WEST BENGAL,717,95,1,813,856,0,0,105.2890528905289,0.8819188191881919,11.808118081180812
