state_ut,district,year,voilent_crime_total,women_crime_total,property_crime_total,economic_crime_total,total_ipc_crimes
AANDN ISLANDS,CAR,2013,4,6,3,2,26
AANDN ISLANDS,CAR,2014,6,11,9,2,40
AANDN ISLANDS,CAR,2015,6,9,9,2,40
AANDN ISLANDS,CAR,2016,6,11,13,4,51
AANDN ISLANDS,CAR,2017,8,12,12,2,53
AANDN ISLANDS,CAR,2018,9,15,18,4,65
AANDN ISLANDS,CAR,2019,15,17,19,5,73
AANDN ISLANDS,CAR,2020,14,19,21,6,76
AANDN ISLANDS,CAR,2021,16,25,22,6,85
AANDN ISLANDS,CAR,2022,18,26,26,9,98
AANDN ISLANDS,CAR,2023,16,20,24,13,96
AANDN ISLANDS,NORTH,2013,27,31,19,3,174
AANDN ISLANDS,NORTH,2014,30,32,19,4,176
AANDN ISLANDS,NORTH,2015,32,32,23,6,189
AANDN ISLANDS,NORTH,2016,38,36,23,7,202
AANDN ISLANDS,NORTH,2017,34,32,21,6,196
AANDN ISLANDS,NORTH,2018,39,36,27,5,219
AANDN ISLANDS,NORTH,2019,42,42,28,4,244
AANDN ISLANDS,NORTH,2020,44,39,29,3,251
AANDN ISLANDS,NORTH,2021,48,41,36,4,272
AANDN ISLANDS,NORTH,2022,50,44,41,6,289
AANDN ISLANDS,NORTH,2023,51,52,42,6,287
AANDN ISLANDS,SOUTH,2013,69,92,96,25,490
AANDN ISLANDS,SOUTH,2014,73,99,100,24,498
AANDN ISLANDS,SOUTH,2015,78,102,104,24,496
AANDN ISLANDS,SOUTH,2016,80,108,106,29,513
AANDN ISLANDS,SOUTH,2017,82,114,101,36,523
AANDN ISLANDS,SOUTH,2018,87,114,103,34,531
AANDN ISLANDS,SOUTH,2019,88,113,114,38,529
AANDN ISLANDS,SOUTH,2020,93,117,109,41,561
AANDN ISLANDS,SOUTH,2021,93,119,113,40,573
AANDN ISLANDS,SOUTH,2022,96,119,118,37,586
AANDN ISLANDS,SOUTH,2023,94,120,126,38,602
AANDN ISLANDS,ZZ TOTAL,2013,100,129,118,30,690
AANDN ISLANDS,ZZ TOTAL,2014,100,139,127,30,742
AANDN ISLANDS,ZZ TOTAL,2015,105,140,140,32,744
AANDN ISLANDS,ZZ TOTAL,2016,111,143,145,35,772
AANDN ISLANDS,ZZ TOTAL,2017,122,156,140,36,797
AANDN ISLANDS,ZZ TOTAL,2018,124,166,141,38,853
AANDN ISLANDS,ZZ TOTAL,2019,134,173,133,38,869
AANDN ISLANDS,ZZ TOTAL,2020,146,173,137,38,885
AANDN ISLANDS,ZZ TOTAL,2021,145,177,149,42,928
AANDN ISLANDS,ZZ TOTAL,2022,151,186,152,40,953
AANDN ISLANDS,ZZ TOTAL,2023,154,197,155,40,946
ANDAMAN AND NICOBAR ISLANDS,A and N ISLANDS,2007,159,57,328,31,934
ANDAMAN AND NICOBAR ISLANDS,A and N ISLANDS,2014,152,61,333,32,927
ANDAMAN AND NICOBAR ISLANDS,A and N ISLANDS,2015,153,60,336,33,959
ANDAMAN AND NICOBAR ISLANDS,A and N ISLANDS,2016,151,67,343,38,980
ANDAMAN AND NICOBAR ISLANDS,A and N ISLANDS,2017,155,75,346,40,1027
ANDAMAN AND NICOBAR ISLANDS,A and N ISLANDS,2018,164,85,357,41,1065
ANDAMAN AND NICOBAR ISLANDS,A and N ISLANDS,2019,188,89,374,40,1114
ANDAMAN AND NICOBAR ISLANDS,A and N ISLANDS,2020,194,93,367,41,1110
ANDAMAN AND NICOBAR ISLANDS,A and N ISLANDS,2021,198,94,369,43,1073
ANDAMAN AND NICOBAR ISLANDS,A and N ISLANDS,2022,195,99,368,47,1083
ANDAMAN AND NICOBAR ISLANDS,A and N ISLANDS,2023,195,104,380,48,1127
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2001,142,36,196,20,707
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2002,121,26,147,15,629
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2003,149,24,180,14,673
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2004,143,36,270,11,834
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2005,108,25,247,21,760
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2006,99,40,286,22,766
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2008,159,91,336,32,1012
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2009,141,108,362,27,1089
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2010,139,104,317,66,1105
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2011,128,60,270,34,885
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2014,133,60,263,38,914
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2015,140,61,261,42,939
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2016,141,62,273,49,988
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2017,143,62,292,57,1036
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2018,135,68,297,63,1069
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2019,129,68,308,69,1075
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2020,137,71,318,69,1093
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2021,147,66,351,84,1153
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2022,157,68,360,95,1218
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2023,166,63,395,114,1289
ANDAMAN AND NICOBAR ISLANDS,CAR,2012,7,2,9,2,29
ANDAMAN AND NICOBAR ISLANDS,CAR,2014,7,8,11,3,39
ANDAMAN AND NICOBAR ISLANDS,CAR,2015,8,11,11,3,44
ANDAMAN AND NICOBAR ISLANDS,CAR,2016,8,14,14,4,52
ANDAMAN AND NICOBAR ISLANDS,CAR,2017,7,19,11,7,52
