state_ut,year,voilent_crime_total,women_crime_total,property_crime_total,economic_crime_total,total_ipc_crimes
AANDN ISLANDS,2013,200,258,236,60,1380
AANDN ISLANDS,2014,209,281,255,60,1456
AANDN ISLANDS,2015,221,283,276,64,1469
AANDN ISLANDS,2016,235,298,287,75,1538
AANDN ISLANDS,2017,246,314,274,80,1569
AANDN ISLANDS,2018,259,331,289,81,1668
AANDN ISLANDS,2019,279,345,294,85,1715
AANDN ISLANDS,2020,297,348,296,88,1773
AANDN ISLANDS,2021,302,362,320,92,1858
AANDN ISLANDS,2022,315,375,337,92,1926
AANDN ISLANDS,2023,315,389,347,97,1931
ANDAMAN AND NICOBAR ISLANDS,2001,294,74,396,40,1456
ANDAMAN AND NICOBAR ISLANDS,2002,262,58,310,30,1322
ANDAMAN AND NICOBAR ISLANDS,2003,314,48,370,32,1416
ANDAMAN AND NICOBAR ISLANDS,2004,296,74,556,24,1728
ANDAMAN AND NICOBAR ISLANDS,2005,220,52,512,42,1560
ANDAMAN AND NICOBAR ISLANDS,2006,210,84,578,44,1576
ANDAMAN AND NICOBAR ISLANDS,2007,318,114,656,62,1868
ANDAMAN AND NICOBAR ISLANDS,2008,324,184,696,64,2078
ANDAMAN AND NICOBAR ISLANDS,2009,288,218,730,58,2218
ANDAMAN AND NICOBAR ISLANDS,2010,288,212,660,132,2270
ANDAMAN AND NICOBAR ISLANDS,2011,266,122,554,70,1818
ANDAMAN AND NICOBAR ISLANDS,2012,216,118,440,74,1548
ANDAMAN AND NICOBAR ISLANDS,2014,505,244,1039,157,3409
ANDAMAN AND NICOBAR ISLANDS,2015,532,245,1021,167,3477
ANDAMAN AND NICOBAR ISLANDS,2016,544,260,1045,184,3532
ANDAMAN AND NICOBAR ISLANDS,2017,546,283,1058,209,3633
ANDAMAN AND NICOBAR ISLANDS,2018,543,312,1081,222,3748
ANDAMAN AND NICOBAR ISLANDS,2019,576,317,1115,245,3823
ANDAMAN AND NICOBAR ISLANDS,2020,609,322,1114,264,3831
ANDAMAN AND NICOBAR ISLANDS,2021,635,340,1146,295,3890
ANDAMAN AND NICOBAR ISLANDS,2022,669,356,1160,325,4011
ANDAMAN AND NICOBAR ISLANDS,2023,693,368,1227,356,4173
ANDHRA PRADESH,2001,101864,29080,83148,12646,297786
ANDHRA PRADESH,2002,112910,32296,93840,15876,330272
ANDHRA PRADESH,2003,116584,35750,113414,17996,365580
ANDHRA PRADESH,2004,127010,36182,112820,18002,369752
ANDHRA PRADESH,2005,120282,36220,113116,18228,366896
ANDHRA PRADESH,2006,137336,40110,112368,19388,400996
ANDHRA PRADESH,2007,134234,46748,114498,18392,405290
ANDHRA PRADESH,2008,139136,46106,119600,19524,415728
ANDHRA PRADESH,2009,132726,48824,115658,19786,416558
ANDHRA PRADESH,2010,139378,52238,124796,20960,423218
ANDHRA PRADESH,2011,155768,53956,131134,22292,443286
ANDHRA PRADESH,2012,158956,53016,128384,25066,446416
ANDHRA PRADESH,2013,166206,64146,145446,29620,505602
ANDHRA PRADESH,2014,338228,121403,283229,56860,976021
ANDHRA PRADESH,2015,359557,126263,291731,59566,1003333
ANDHRA PRADESH,2016,378272,129606,303119,62942,1040740
ANDHRA PRADESH,2017,391211,131838,311090,65521,1065869
ANDHRA PRADESH,2018,408344,135187,322022,69177,1097546
ANDHRA PRADESH,2019,427924,139252,336596,73494,1138857
ANDHRA PRADESH,2020,459105,144664,344217,78610,1188295
ANDHRA PRADESH,2021,474065,149317,359241,83449,1229218
ANDHRA PRADESH,2022,496577,155744,376723,88418,1280118
ANDHRA PRADESH,2023,517421,163574,394807,93911,1333257
ARUNACHAL PRADESH,2001,1324,426,2484,150,5802
ARUNACHAL PRADESH,2002,1130,394,2314,114,5436
ARUNACHAL PRADESH,2003,1130,340,2180,112,5060
ARUNACHAL PRADESH,2004,1298,380,2136,122,5502
ARUNACHAL PRADESH,2005,1266,370,2850,136,5856
ARUNACHAL PRADESH,2006,1274,410,2522,216,5714
ARUNACHAL PRADESH,2007,1240,466,2714,168,5830
ARUNACHAL PRADESH,2008,1508,434,2456,144,5880
ARUNACHAL PRADESH,2009,1688,446,2076,150,5728
ARUNACHAL PRADESH,2010,1470,474,2370,300,5996
ARUNACHAL PRADESH,2011,1328,426,2176,260,5670
ARUNACHAL PRADESH,2012,1420,492,2208,282,5900
ARUNACHAL PRADESH,2013,1692,722,2646,194,7014
ARUNACHAL PRADESH,2014,3200,1385,4941,537,13467
ARUNACHAL PRADESH,2015,3309,1487,5098,601,14025
ARUNACHAL PRADESH,2016,3424,1581,5225,667,14622
ARUNACHAL PRADESH,2017,3524,1732,5418,757,15278
ARUNACHAL PRADESH,2018,3543,1885,5581,854,15889
ARUNACHAL PRADESH,2019,3681,2023,5875,933,16780
ARUNACHAL PRADESH,2020,3824,2164,6084,1038,17542
ARUNACHAL PRADESH,2021,3914,2351,6262,1153,18273
ARUNACHAL PRADESH,2022,4002,2510,6526,1281,19286
ARUNACHAL PRADESH,2023,4173,2690,6801,1445,20352
ASSAM,2001,27042,9730,28780,1990,89082
ASSAM,2002,25124,11942,29424,2668,88932
ASSAM,2003,26514,12586,29352,3126,92886
ASSAM,2004,29394,13614,30344,3016,99236
ASSAM,2005,29024,14316,31600,2926,102728
ASSAM,2006,27996,15970,38852,2928,109124
ASSAM,2007,28244,16488,37836,3326,112888
ASSAM,2008,28842,19040,40250,3534,130044
ASSAM,2009,29332,22550,38778,3968,134612
ASSAM,2010,28740,26428,40200,4862,148998
ASSAM,2011,30450,26324,42182,4950,160974
ASSAM,2012,36532,30372,47586,6088,185208
ASSAM,2013,35516,38654,52998,8228,208878
ASSAM,2014,76539,74384,103311,15208,417471
ASSAM,2015,78832,79469,106340,16180,440896
ASSAM,2016,82566,84321,111856,17285,470248
ASSAM,2017,87212,90261,119878,18869,501904
ASSAM,2018,91737,98771,126338,19954,542318
ASSAM,2019,96905,106439,133618,21649,578755
ASSAM,2020,100680,113947,141424,23184,621764
ASSAM,2021,106894,123045,149168,25527,673247
ASSAM,2022,114584,134359,158339,27663,731054
ASSAM,2023,123205,146349,169179,29746,791886
BIHAR,2001,55230,10754,52552,5380,202360
BIHAR,2002,59086,11986,54392,6196,215172
BIHAR,2003,57980,12338,54076,6288,211598
BIHAR,2004,66142,16474,59702,9044,247952
BIHAR,2005,62976,12698,56984,6120,225004
BIHAR,2006,66182,14100,60690,6644,232536
BIHAR,2007,74340,16196,58800,7526,250600
BIHAR,2008,76652,17274,64328,8324,280448
BIHAR,2009,73006,16880,72690,7862,284606
BIHAR,2010,76850,16490,73506,8296,294932
BIHAR,2011,88512,19498,76510,11162,314780
BIHAR,2012,145668,21526,81904,11246,340030
BIHAR,2013,123474,25560,98368,12896,391152
BIHAR,2014,290745,49640,187209,25637,766360
BIHAR,2015,310034,52926,190541,27792,793536
BIHAR,2016,337295,57140,195400,29798,835173
BIHAR,2017,363436,61282,205466,32063,879255
BIHAR,2018,397032,67309,212662,34496,934486
BIHAR,2019,430366,73228,225865,37871,996721
BIHAR,2020,468285,77894,232121,40530,1048720
BIHAR,2021,519667,85659,246358,43312,1131135
BIHAR,2022,579418,94611,263490,47405,1233305
BIHAR,2023,641167,103219,280462,53132,1331784
CHANDIGARH,2001,488,328,6898,366,10000
CHANDIGARH,2002,568,408,7316,442,11050
