state_ut,district,year,murder,attempt_to_murder,culpable_homicide_not_amounting_to_murder,rape,custodial_rape,other_rape,kidnapping_and_abduction,kidnapping_and_abduction_of_women_and_girls,kidnapping_and_abduction_of_others,dacoity,preparation_and_assembly_for_dacoity,robbery,burglary,theft,auto_theft,other_theft,riots,criminal_breach_of_trust,cheating,counterfeiting,arson,hurt_grievous_hurt,dowry_deaths,assault_on_women_with_intent_to_outrage_her_modesty,insult_to_modesty_of_women,cruelty_by_husband_or_his_relatives,importation_of_girls_from_foreign_countries,causing_death_by_negligence,other_ipc_crimes,total_ipc_crimes,destrict,voilent_crime_total,women_crime_total,property_crime_total,economic_crime_total
AANDN ISLANDS,CAR,2013,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,2,0,2,2,0,0,1,12,26,CAR,4,6,3,2
AANDN ISLANDS,CAR,2014,1,0,0,2,2,1,1,0,0,0,0,1,2,4,1,1,0,1,1,0,1,3,0,2,3,1,0,0,12,40,CAR,6,11,9,2
AANDN ISLANDS,CAR,2015,0,0,1,1,1,1,1,0,0,2,1,2,0,2,2,0,0,1,1,0,2,4,0,3,3,0,0,0,12,40,CAR,6,9,9,2
AANDN ISLANDS,CAR,2016,0,0,0,0,0,3,2,0,0,4,2,2,1,1,2,1,0,3,1,0,2,4,0,5,3,0,0,2,13,51,CAR,6,11,13,4
AANDN ISLANDS,CAR,2017,0,0,0,0,0,3,1,0,2,4,3,3,0,0,2,0,0,2,0,0,2,4,0,3,4,0,2,4,14,53,CAR,8,12,12,2
AANDN ISLANDS,CAR,2018,0,0,1,0,0,3,1,1,3,6,4,3,1,0,3,1,0,3,1,0,1,3,1,2,5,0,3,4,15,65,CAR,9,15,18,4
AANDN ISLANDS,CAR,2019,0,1,2,2,0,4,1,0,3,7,4,3,1,0,3,1,1,4,1,0,1,4,1,2,5,0,3,4,15,73,CAR,15,17,19,5
AANDN ISLANDS,CAR,2020,0,1,1,1,0,4,0,0,4,7,4,3,1,0,4,2,1,5,1,0,0,3,3,2,5,0,4,4,16,76,CAR,14,19,21,6
AANDN ISLANDS,CAR,2021,0,3,1,2,1,5,0,0,3,8,3,3,2,0,4,2,1,6,0,0,0,3,2,4,5,2,4,4,17,85,CAR,16,25,22,6
AANDN ISLANDS,CAR,2022,0,4,1,4,0,4,1,0,4,8,4,2,4,0,5,3,1,9,0,0,0,3,1,4,6,2,5,4,19,98,CAR,18,26,26,9
AANDN ISLANDS,CAR,2023,0,4,0,2,0,2,2,0,4,7,3,1,4,0,7,2,2,12,1,0,0,4,1,4,4,1,6,3,20,96,CAR,16,20,24,13
AANDN ISLANDS,NORTH,2013,1,1,0,5,0,5,6,5,1,0,0,0,5,7,0,7,0,3,0,0,1,17,0,10,1,5,0,3,91,174,NORTH,27,31,19,3
AANDN ISLANDS,NORTH,2014,2,0,0,6,0,6,7,5,1,0,0,0,5,7,0,7,1,4,0,0,1,17,0,9,1,5,0,4,88,176,NORTH,30,32,19,4
AANDN ISLANDS,NORTH,2015,1,0,0,5,1,5,9,4,2,0,1,2,6,8,0,6,1,5,0,1,1,19,0,10,1,6,0,6,89,189,NORTH,32,32,23,6
AANDN ISLANDS,NORTH,2016,0,0,1,6,2,5,11,4,1,0,0,2,5,7,1,8,2,5,0,2,1,21,1,11,1,6,0,7,92,202,NORTH,38,36,23,7
AANDN ISLANDS,NORTH,2017,0,0,0,5,1,4,11,4,0,2,1,0,4,6,1,7,1,3,1,2,2,21,0,13,0,5,0,7,95,196,NORTH,34,32,21,6
AANDN ISLANDS,NORTH,2018,0,0,1,6,2,2,12,5,1,2,1,1,6,7,2,8,2,3,2,0,1,21,1,14,0,6,0,8,105,219,NORTH,39,36,27,5
AANDN ISLANDS,NORTH,2019,1,1,1,7,3,5,12,5,0,1,1,3,4,7,4,8,1,3,1,0,2,21,1,14,1,5,1,9,122,244,NORTH,42,42,28,4
AANDN ISLANDS,NORTH,2020,2,1,1,7,2,6,12,4,0,1,1,4,6,6,4,7,3,2,1,0,3,21,0,13,1,5,1,9,128,251,NORTH,44,39,29,3
AANDN ISLANDS,NORTH,2021,3,1,2,8,1,6,12,5,1,1,3,4,7,7,6,8,2,2,2,0,3,22,0,13,0,6,2,10,135,272,NORTH,48,41,36,4
AANDN ISLANDS,NORTH,2022,4,1,3,8,0,6,13,7,1,3,3,6,7,6,8,8,1,2,3,1,4,22,0,14,0,7,2,11,138,289,NORTH,50,44,41,6
AANDN ISLANDS,NORTH,2023,4,0,3,10,0,7,13,8,0,3,3,7,7,5,10,7,1,4,2,0,5,21,0,16,0,8,3,12,128,287,NORTH,51,52,42,6
AANDN ISLANDS,SOUTH,2013,5,3,1,21,0,21,8,7,1,1,0,1,36,29,2,27,0,1,24,0,1,36,1,33,5,4,0,2,220,490,SOUTH,69,92,96,25
AANDN ISLANDS,SOUTH,2014,6,4,1,20,0,22,8,7,2,1,0,1,37,31,3,27,0,0,24,0,2,38,3,35,7,5,0,1,213,498,SOUTH,73,99,100,24
AANDN ISLANDS,SOUTH,2015,8,4,0,19,0,23,8,9,2,0,0,1,37,32,4,30,0,0,24,0,1,40,5,31,7,7,1,2,201,496,SOUTH,78,102,104,24
AANDN ISLANDS,SOUTH,2016,9,4,1,21,0,24,10,10,1,0,0,2,37,32,5,30,0,0,27,2,1,39,5,32,9,7,0,1,204,513,SOUTH,80,108,106,29
AANDN ISLANDS,SOUTH,2017,9,5,1,21,1,24,10,10,0,0,1,1,34,33,5,27,0,2,30,4,1,39,6,36,9,6,1,1,206,523,SOUTH,82,114,101,36
AANDN ISLANDS,SOUTH,2018,10,3,2,22,0,25,10,10,3,1,0,0,33,35,5,29,1,1,30,3,1,41,6,35,9,7,0,2,207,531,SOUTH,87,114,103,34
AANDN ISLANDS,SOUTH,2019,11,1,2,22,0,23,8,10,4,2,0,1,36,35,6,34,2,1,33,4,2,41,6,35,8,9,0,3,190,529,SOUTH,88,113,114,38
AANDN ISLANDS,SOUTH,2020,11,0,3,21,2,24,10,10,3,1,0,1,37,35,5,30,2,2,35,4,3,44,6,35,9,10,0,6,212,561,SOUTH,93,117,109,41
AANDN ISLANDS,SOUTH,2021,12,1,4,19,1,25,10,10,3,2,0,2,35,37,6,31,3,2,33,5,3,45,4,40,10,10,0,5,215,573,SOUTH,93,119,113,40
AANDN ISLANDS,SOUTH,2022,12,2,4,18,1,26,9,9,5,3,0,3,34,39,7,32,4,1,32,4,3,46,4,38,10,13,0,6,221,586,SOUTH,96,119,118,37
AANDN ISLANDS,SOUTH,2023,14,0,3,17,2,26,9,11,4,3,0,4,35,40,8,36,2,1,32,5,4,48,4,37,9,13,1,6,228,602,SOUTH,94,120,126,38
AANDN ISLANDS,ZZ TOTAL,2013,6,4,1,27,0,27,14,12,2,1,0,1,42,37,2,35,0,5,25,0,2,55,1,45,8,9,0,6,323,690,ZZ TOTAL,100,129,118,30
AANDN ISLANDS,ZZ TOTAL,2014,7,3,1,28,1,27,14,15,2,2,0,2,43,38,4,38,0,5,25,0,3,53,1,48,8,10,1,7,356,742,ZZ TOTAL,100,139,127,30
AANDN ISLANDS,ZZ TOTAL,2015,7,2,0,28,0,26,13,16,2,3,1,3,48,42,4,39,1,5,27,0,4,60,0,51,9,10,0,7,336,744,ZZ TOTAL,105,140,140,32
AANDN ISLANDS,ZZ TOTAL,2016,7,4,0,28,0,28,15,14,2,4,1,3,52,39,5,41,3,7,27,1,5,61,0,53,9,10,1,8,344,772,ZZ TOTAL,111,143,145,35
AANDN ISLANDS,ZZ TOTAL,2017,8,4,2,32,0,29,15,16,1,4,0,3,49,38,4,42,3,8,26,2,7,64,1,57,8,12,1,8,353,797,ZZ TOTAL,122,156,140,36
AANDN ISLANDS,ZZ TOTAL,2018,8,4,2,33,0,29,17,17,0,4,0,5,48,37,4,43,3,9,26,3,6,65,2,62,9,12,2,7,396,853,ZZ TOTAL,124,166,141,38
AANDN ISLANDS,ZZ TOTAL,2019,9,4,3,35,0,29,17,16,0,3,0,5,47,31,3,44,4,8,27,3,7,69,3,65,9,13,3,7,405,869,ZZ TOTAL,134,173,133,38
AANDN ISLANDS,ZZ TOTAL,2020,11,5,4,35,0,32,16,17,1,3,1,4,50,30,3,46,4,7,28,3,8,75,3,63,8,12,3,9,404,885,ZZ TOTAL,146,173,137,38
AANDN ISLANDS,ZZ TOTAL,2021,10,3,3,35,0,33,17,16,0,3,2,4,54,31,4,51,5,10,27,5,9,74,5,63,7,13,5,10,429,928,ZZ TOTAL,145,177,149,42
AANDN ISLANDS,ZZ TOTAL,2022,9,3,3,33,0,34,19,18,0,4,3,4,55,33,4,49,5,12,25,3,11,80,5,68,7,14,7,13,432,953,ZZ TOTAL,151,186,152,40
AANDN ISLANDS,ZZ TOTAL,2023,10,3,0,34,0,36,20,20,1,4,3,5,55,35,3,50,5,13,25,2,12,83,7,68,9,15,8,12,408,946,ZZ TOTAL,154,197,155,40
ANDAMAN AND NICOBAR ISLANDS,A and N ISLANDS,2007,15,19,1,3,0,3,12,9,3,5,0,9,90,112,8,104,17,7,23,1,11,99,1,21,2,18,0,4,337,934,A AND N ISLANDS,159,57,328,31
ANDAMAN AND NICOBAR ISLANDS,A and N ISLANDS,2014,17,17,1,4,0,3,12,9,5,5,1,9,86,114,8,110,18,7,24,1,10,92,0,21,3,19,2,3,326,927,A AND N ISLANDS,152,61,333,32
ANDAMAN AND NICOBAR ISLANDS,A and N ISLANDS,2015,16,19,0,3,0,2,13,8,4,4,0,10,83,117,10,112,19,6,24,3,11,92,0,22,2,20,3,4,352,959,A AND N ISLANDS,153,60,336,33
ANDAMAN AND NICOBAR ISLANDS,A and N ISLANDS,2016,17,19,0,2,0,2,14,9,6,5,1,12,83,116,11,115,21,9,25,4,12,87,1,23,3,22,5,4,352,980,A AND N ISLANDS,151,67,343,38
ANDAMAN AND NICOBAR ISLANDS,A and N ISLANDS,2017,17,21,0,1,1,2,15,9,6,4,1,14,90,114,11,112,21,10,26,4,13,90,1,25,4,25,7,4,379,1027,A AND N ISLANDS,155,75,346,40
ANDAMAN AND NICOBAR ISLANDS,A and N ISLANDS,2018,17,21,2,2,2,4,15,9,7,6,0,15,94,114,12,116,21,10,26,5,13,94,2,26,4,27,9,5,387,1065,A AND N ISLANDS,164,85,357,41
ANDAMAN AND NICOBAR ISLANDS,A and N ISLANDS,2019,19,23,4,2,5,3,16,10,7,6,1,17,101,115,13,121,23,10,25,5,14,111,2,25,4,28,10,4,390,1114,A AND N ISLANDS,188,89,374,40
