,sr_no_x,state_ut,working_judges,incharge_courts,link_courts,total_courts,empty_courts,invalid_jocode_count,courts_closed_cases_pending,court_vacancy_rate_pct,judges_per_court,temporary_court_ratio_pct,sr_no_y,total_districts,court_complexes,total_establishments,total_cases_db,total_orders,orders_not_uploaded,cases_per_establishment,orders_per_establishment,orders_not_uploaded_pct,cases_per_district
0,1,ANDAMAN AND NICOBAR,9,0,0,9,12,7,0,133.33333333333331,1.0,0.0,1,4,4,4,52458,80417,83,13114.5,20104.25,0.10321200741136825,13114.5
1,2,ANDHRA PRADESH,529,114,4,647,657,1,2  (3 ),101.54559505409581,0.8176197836166924,18.238021638330757,2,13,194,365,5465534,3426787,1152394,14974.065753424658,9388.457534246576,33.62899415691725,420425.6923076923
2,3,ARUNACHAL PRADESH,15,3,1,19,15,0,4  (33 ),78.94736842105263,0.7894736842105263,21.052631578947366,3,28,18,15,29180,61437,8929,1945.3333333333333,4095.8,14.533587251981706,1042.142857142857
3,4,ASSAM,375,27,1,403,527,0,2  (10 ),130.76923076923077,0.9305210918114144,6.9478908188585615,4,34,80,201,2838067,2171919,956846,14119.73631840796,10805.567164179105,44.05532618849966,83472.55882352941
4,5,BIHAR,1450,618,2,2070,3053,0,87  (1605 ),147.48792270531402,0.7004830917874396,29.951690821256037,5,38,83,268,9376541,4877721,1061233,34987.09328358209,18200.451492537315,21.756738444039748,246751.07894736843
5,6,CHANDIGARH,30,0,0,30,50,0,0,166.66666666666669,1.0,0.0,6,1,1,3,560386,4572745,117895,186795.33333333334,1524248.3333333333,2.5782106808929868,560386.0
6,7,CHHATTISGARH,457,21,4,482,521,0,30  (59 ),108.09128630705393,0.9481327800829875,5.186721991701245,7,25,93,204,3602390,1566008,2219910,17658.774509803923,7676.509803921569,141.75598081235856,144095.6
7,8,DELHI,682,36,0,718,746,0,9  (54 ),103.89972144846797,0.9498607242339833,5.013927576601671,8,11,12,51,7203426,26728813,3143672,141243.64705882352,524094.3725490196,11.761360296845206,654856.9090909091
8,10,GOA,44,19,0,63,73,0,0,115.87301587301589,0.6984126984126984,30.158730158730158,9,2,16,15,557343,375201,208755,37156.2,25013.4,55.638177936625965,278671.5
9,11,GUJARAT,1045,59,0,1104,1220,0,4  (4 ),110.5072463768116,0.9465579710144928,5.344202898550725,10,33,338,467,19590391,16234191,2700268,41949.44539614561,34762.721627408995,16.633215661932276,593648.2121212122
10,12,HARYANA,474,12,0,486,782,0,12  (21 ),160.90534979423867,0.9753086419753086,2.4691358024691357,11,22,60,152,9728677,76374188,1284603,64004.45394736842,502461.7631578947,1.681985803894897,442212.5909090909
11,13,HIMACHAL PRADESH,141,3,0,144,282,0,9  (38 ),195.83333333333331,0.9791666666666666,2.083333333333333,12,12,53,126,4461669,3697991,3191593,35410.07142857143,29349.134920634922,86.30613216743902,371805.75
12,14,JAMMU AND KASHMIR,199,21,3,223,400,0,1  (24 ),179.37219730941706,0.8923766816143498,10.762331838565023,13,20,83,169,1955214,386222,1175594,11569.313609467456,2285.337278106509,304.38297145165217,97760.7
13,15,JHARKHAND,424,124,5,553,828,0,22  (51 ),149.72875226039784,0.7667269439421338,23.32730560578662,14,24,24,132,3744494,1916591,1898457,28367.378787878788,14519.628787878788,99.05384090815411,156020.58333333334
