sl_no,state_ut,crimes_2020,crimes_2021,crimes_2022,population_lakhs_2022,crime_rate_2022,chargesheeting_rate_2022,growth_20_21_pct,growth_21_22_pct,avg_crimes_2020_22,population_million_2022,crime_per_million_2022
1,ANDHRA PRADESH,188997,179611,158547,530.3,299.0,86.5,-4.966216394969232,-11.727566797133806,175718.33333333334,53.029999999999994,2989.760512917217
2,ARUNACHAL PRADESH,2244,2626,2308,15.5,148.8,47.2,17.023172905525847,-12.10967250571211,2392.6666666666665,1.55,1489.032258064516
3,ASSAM,111558,119883,59315,354.9,167.1,32.6,7.462485881783467,-50.52259286137317,96918.66666666667,35.489999999999995,1671.3158636235562
4,BIHAR,194698,186006,211079,1255.3,168.1,75.4,-4.464349916280598,13.47967269873015,197261.0,125.53,1681.50242969808
5,CHHATTISGARH,65216,70519,73822,299.5,246.5,80.4,8.131440137389598,4.683844070392377,69852.33333333333,29.95,2464.841402337229
6,GOA,3393,2099,2711,15.7,172.8,75.9,-38.13734158561745,29.156741305383516,2734.3333333333335,1.5699999999999998,1726.751592356688
7,GUJARAT,381849,273056,134600,709.3,189.8,89.8,-28.491105122705573,-50.70608226883863,263168.3333333333,70.92999999999999,1897.6455660510364
8,HARYANA,103276,112720,125435,299.7,418.6,43.3,9.144428521631356,11.28016323633783,113810.33333333333,29.97,4185.352018685352
9,HIMACHAL PRADESH,14803,13041,13231,74.4,177.8,82.9,-11.90299263662771,1.4569434859289931,13691.666666666666,7.44,1778.3602150537633
10,JHARKHAND,51033,47684,48726,391.4,124.5,58.2,-6.562420394646601,2.18521936079188,49147.666666666664,39.14,1244.9156872764436
11,KARNATAKA,106350,115728,129461,674.1,192.1,78.3,8.818053596614952,11.86661827733997,117179.66666666667,67.41,1920.501409286456
12,KERALA,149099,142643,235858,356.8,661.0,96.0,-4.330008920247621,65.34845733754898,175866.66666666666,35.68,6610.369955156951
13,MADHYA PRADESH,283881,304066,298578,858.9,347.6,86.6,7.110373712929009,-1.8048713108338321,295508.3333333333,85.89,3476.283618581907
14,MAHARASHTRA,394017,367218,374038,1257.4,297.5,75.3,-6.801483184735684,1.8572074353653687,378424.3333333333,125.74000000000001,2974.693812629235
15,MANIPUR,2349,2484,3029,32.0,94.6,10.4,5.747126436781609,21.940418679549115,2620.6666666666665,3.2,946.5625
16,MEGHALAYA,2871,2672,2914,33.3,87.6,26.9,-6.931382793451759,9.056886227544911,2819.0,3.3299999999999996,875.0750750750751
17,MIZORAM,1787,2467,3587,12.3,291.6,58.0,38.05260212646894,45.39927036886907,2613.6666666666665,1.23,2916.2601626016262
18,NAGALAND,1022,1033,1008,22.2,45.4,58.0,1.076320939334638,-2.420135527589545,1021.0,2.2199999999999998,454.0540540540541
19,ODISHA,108533,124956,143414,460.8,311.2,77.9,15.131803230353903,14.771599603060276,125634.33333333333,46.08,3112.2829861111113
20,PUNJAB,49870,46454,43738,306.0,142.9,66.4,-6.849809504712252,-5.846643991905971,46687.333333333336,30.6,1429.3464052287582
21,RAJASTHAN,193279,214552,236090,804.4,293.5,49.8,11.006369031296726,10.038592042954622,214640.33333333334,80.44,2934.9825957235207
22,SIKKIM,504,532,549,6.8,80.3,55.5,5.555555555555555,3.195488721804511,528.3333333333334,0.6799999999999999,807.3529411764706
23,TAMIL NADU,891700,322852,193913,767.1,252.8,70.7,-63.79365257373556,-39.937494579559676,469488.3333333333,76.71000000000001,2527.871203232955
24,TELANGANA,135885,146131,151849,379.5,400.1,79.1,7.540199433344371,3.9129274418159046,144621.66666666666,37.95,4001.29117259552
25,TRIPURA,4010,4133,3653,41.2,88.7,73.1,3.0673316708229423,-11.613839825792402,3932.0,4.12,886.6504854368932
26,UTTAR PRADESH,355110,357905,401787,2340.9,171.6,76.1,0.7870800596998113,12.260795462483062,371600.6666666667,234.09,1716.3783160322953
27,UTTARAKHAND,13812,15704,16967,115.6,146.8,71.5,13.698233420214306,8.04253693326541,15494.333333333334,11.559999999999999,1467.733564013841
28,WEST BENGAL,158060,157498,156503,987.6,158.5,90.6,-0.3555611792990004,-0.6317540540197336,157353.66666666666,98.76,1584.680032401782
29,ANDAMAN AND NICOBAR ISLANDS,482,386,460,4.0,114.4,83.9,-19.91701244813278,19.170984455958546,442.6666666666667,0.4,1150.0
30,CHANDIGARH,2583,2401,2941,12.2,240.5,54.4,-7.046070460704606,22.490628904623076,2641.6666666666665,1.22,2410.655737704918
31,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,441,490,1184,12.0,98.6,82.5,11.11111111111111,141.6326530612245,705.0,1.2,986.6666666666667
32,DELHI,249192,291904,300429,211.0,1424.1,30.2,17.14019711708241,2.9204807059855296,280508.3333333333,21.1,14238.341232227487
33,JAMMU AND KASHMIR,25233,27447,25915,135.4,191.4,77.1,8.77422423017477,-5.581666484497394,26198.333333333332,13.540000000000001,1913.9586410635154
34,LADAKH,387,519,439,3.0,146.8,82.4,34.10852713178294,-15.414258188824661,448.3333333333333,0.3,1463.3333333333335
35,LAKSHADWEEP,107,89,64,0.7,92.8,73.5,-16.822429906542055,-28.08988764044944,86.66666666666667,0.06999999999999999,914.2857142857143
36,PUDUCHERRY,6725,3851,3237,16.2,199.7,91.3,-42.7360594795539,-15.943910672552583,4604.333333333333,1.6199999999999999,1998.1481481481483
