State,Year,Ruling_Party
Andhra Pradesh,2001,TDP
Arunachal Pradesh,2001,INC
Assam,2001,AGP
Bihar,2001,RJD
Chhattisgarh,2001,Unknown
Delhi,2001,INC
Goa,2001,INC
Gujarat,2001,INC
Haryana,2001,INLD
Himachal Pradesh,2001,INC
Jharkhand,2001,Unknown
Karnataka,2001,INC
Kerala,2001,LDF
Madhya Pradesh,2001,INC
Maharashtra,2001,INC-NCP
Manipur,2001,INC
Meghalaya,2001,INC? (NCP)
Mizoram,2001,MNF
Nagaland,2001,NDPP
Odisha,2001,BDP (BJD)
Punjab,2001,Shiromani Akali Dal
Rajasthan,2001,INC
Sikkim,2001,SDF
Tamil Nadu,2001,DMK
Telangana,2001,Unknown
Tripura,2001,CPM
Uttar Pradesh,2001,BSP
Uttarakhand,2001,INC? (BJP)
West Bengal,2001,Trinamool Congress? (Left)
Andhra Pradesh,2004,INC
Arunachal Pradesh,2004,INC
Assam,2004,INC
Bihar,2004,INC-RJD
Chhattisgarh,2004,INC
Delhi,2004,INC
Goa,2004,INC
Gujarat,2004,BJP
Haryana,2004,INC
Himachal Pradesh,2004,INC
Jharkhand,2004,Unknown
Karnataka,2004,INC
Kerala,2004, LDF (CPI(M))
Madhya Pradesh,2004,INC
Maharashtra,2004,INC-NCP
Manipur,2004,INC
Meghalaya,2004,INC
Mizoram,2004,INC
Nagaland,2004,NDPP
Odisha,2004,BJD
Punjab,2004,INC
Rajasthan,2004,INC
Sikkim,2004,SDF
Tamil Nadu,2004,DMK
Telangana,2004,Unknown
Tripura,2004,CPM
Uttar Pradesh,2004,SP
Uttarakhand,2004,INC
West Bengal,2004,Trinamool
Andhra Pradesh,2009,INC
Arunachal Pradesh,2009,INC
Assam,2009,INC
Bihar,2009,BJP-JD(U)
Chhattisgarh,2009,INC
Delhi,2009,AAP
Goa,2009,BJP
Gujarat,2009,BJP
Haryana,2009,INC
Himachal Pradesh,2009,INC
Jharkhand,2009,JMM-JD(U)
Karnataka,2009,INC? (BJP)
Kerala,2009,LDF (CPI(M))
Madhya Pradesh,2009,BJP
Maharashtra,2009,INC-NCP
Manipur,2009,INC
Meghalaya,2009,NCP
Mizoram,2009,INC
Nagaland,2009,NDPP (NPF)
Odisha,2009,BJD
Punjab,2009,INC
Rajasthan,2009,INC
Sikkim,2009,SDF
Tamil Nadu,2009,AIADMK
Telangana,2009,TRS (BRS)
Tripura,2009,CPM
Uttar Pradesh,2009,BSP
Uttarakhand,2009,INC
West Bengal,2009,Trinamool
Andhra Pradesh,2014,TDP
Arunachal Pradesh,2014,BJP
Assam,2014,BJP
Bihar,2014,BJP-JD(U)
Chhattisgarh,2014,BJP
Delhi,2014,Delhi (UT)
Goa,2014,BJP
Gujarat,2014,BJP
Haryana,2014,BJP-JJP
Himachal Pradesh,2014,BJP
Jharkhand,2014,BJP
Karnataka,2014,INC
Kerala,2014,LDF
Madhya Pradesh,2014,BJP
Maharashtra,2014,BJP-SS
Manipur,2014,BJP
Meghalaya,2014,INC
Mizoram,2014,MNF (ZPM)
Nagaland,2014,NDPP
Odisha,2014,BJD
Punjab,2014,AAP
Rajasthan,2014,BJP
Sikkim,2014,SDF
Tamil Nadu,2014,AIADMK
Telangana,2014,TRS
Tripura,2014,BJP
Uttar Pradesh,2014,BJP
Uttarakhand,2014,BJP
West Bengal,2014,Trinamool
Andhra Pradesh,2019,YSRCP
Arunachal Pradesh,2019,BJP
Assam,2019,BJP
Bihar,2019,NDA (JD(U))
Chhattisgarh,2019,INC
Delhi,2019,AAP
Goa,2019,BJP
Gujarat,2019,BJP
Haryana,2019,BJP
Himachal Pradesh,2019,INC
Jharkhand,2019,JMM
Karnataka,2019,BJP
Kerala,2019,LDF
Madhya Pradesh,2019,INC
Maharashtra,2019,BJP (split)
Manipur,2019,BJP
Meghalaya,2019, (NPP-led)
Mizoram,2019,ZPM
Nagaland,2019,NDPP
Odisha,2019,BJD
Punjab,2019,AAP
Rajasthan,2019,BJP
Sikkim,2019,SKM
Tamil Nadu,2019,DMK
Telangana,2019,BRS
Tripura,2019,BJP
Uttar Pradesh,2019,BJP
Uttarakhand,2019,BJP
West Bengal,2019,Trinamool
Andhra Pradesh,2024,TDP
Arunachal Pradesh,2024,BJP
Assam,2024,BJP
Bihar,2024,NDA (JD(U))
Chhattisgarh,2024,BJP
Delhi,2024,BJP
Goa,2024,BJP
Gujarat,2024,BJP
Haryana,2024,BJP
Himachal Pradesh,2024,BJP? (2022 INC)
Jharkhand,2024,JMM
Karnataka,2024,INC
Kerala,2024,LDF
Madhya Pradesh,2024,BJP
Maharashtra,2024,BJP
Manipur,2024,President's Rule
Meghalaya,2024,NPP
Mizoram,2024,ZPM
Nagaland,2024,NPF
Odisha,2024,BJP
Punjab,2024,AAP
Rajasthan,2024,INC? (2023 INC)
Sikkim,2024,SKM
Tamil Nadu,2024,DMK
Telangana,2024,INC
Tripura,2024,BJP
Uttar Pradesh,2024,BJP
Uttarakhand,2024,BJP
West Bengal,2024,Trinamool
