state_ut_clean,cluster_label,crime_rate_per_100k,unemployment_rate,literacy_rate,urban_percent
LAKSHADWEEP,High Crime – Priority,8287.189986505979,16.0,91.85,78.02956276270687
ANDHRA PRADESH,Low Crime – Stable,19556.020394563177,4.6,67.02,33.36346153452811
UTTAR PRADESH,Low Crime – Stable,9496.377403435758,4.1,67.68,22.256110297011134
TRIPURA,Low Crime – Stable,13136.143249833895,1.7,87.22,26.15685112102424
TAMIL NADU,Low Crime – Stable,22890.94921856104,4.9,80.09,48.44236692764761
SIKKIM,Low Crime – Stable,11198.587565532276,3.9,81.42,24.849609467765738
RAJASTHAN,Low Crime – Stable,22129.01659595827,5.1,66.11,24.91781978923896
PUNJAB,Low Crime – Stable,11190.621690872238,5.8,75.84,37.441190385958606
ODISHA,Low Crime – Stable,14891.843845667358,5.1,72.87,16.667669663315703
NAGALAND,Low Crime – Stable,6399.892443879258,7.7,79.55,28.99875764593617
MEGHALAYA,Low Crime – Stable,8980.787619624462,8.6,74.43,20.055890193397865
MANIPUR,Low Crime – Stable,15009.390996106926,6.2,79.21,30.205940576598344
MAHARASHTRA,Low Crime – Stable,17068.608540706533,3.5,82.34,45.23055189124015
UTTARAKHAND,Low Crime – Stable,8722.977680995156,5.8,79.63,30.64722893209913
MADHYA PRADESH,Low Crime – Stable,25220.69364220587,1.7,69.32,27.620194630883482
KARNATAKA,Low Crime – Stable,17351.651469997763,2.9,75.36,38.592454996986106
JHARKHAND,Low Crime – Stable,11821.908447443557,2.1,66.41,24.036800626552566
HIMACHAL PRADESH,Low Crime – Stable,14576.693594180699,9.9,82.8,10.032686527201431
HARYANA,Low Crime – Stable,24927.106768043595,3.6,75.55,34.7971568661405
GUJARAT,Low Crime – Stable,18865.726516276754,1.4,78.03,42.54292195929787
CHHATTISGARH,Low Crime – Stable,16947.54137352938,3.0,70.28,23.23935011190753
BIHAR,Low Crime – Stable,12912.311008130955,3.9,61.8,11.267695242046038
ASSAM,Low Crime – Stable,23819.88718939205,6.5,72.19,14.064012149623517
ARUNACHAL PRADESH,Low Crime – Stable,17409.648001375994,7.5,65.38,22.652300634445957
WEST BENGAL,Low Crime – Stable,16397.497855819125,3.8,76.26,31.918602144712228
MIZORAM,Moderate Crime – Emerging,17115.837864539568,2.3,91.33,51.22073703570707
GOA,Moderate Crime – Emerging,24353.996619919166,8.7,88.7,62.137883987124155
PUDUCHERRY,Moderate Crime – Emerging,30372.618199563607,5.6,85.85,68.12139559743035
DELHI,Moderate Crime – Emerging,42322.206159766705,2.1,86.21,76.87529995489024
CHANDIGARH,Moderate Crime – Emerging,36356.43564356436,7.7,86.05,97.17959164337486
KERALA,Moderate Crime – Emerging,43366.73515623408,9.5,94.0,47.69245616835819
