table_name,state_code,distt_code,tehsil_code,town_code,area_name,total_rural_urban,total_persons,total_males,total_females,total_hindu,hindu_male,hindu_female,total_muslim,muslim_male,muslim_female,total_christian,christian_male,christian_female,total_sikh,sikh_male,sikh_female,total_buddhist,buddhist_male,buddhist_female,total_jain,jain_male,jain_female,total_others,other_male,other_female,no_religion_total,no_religion_male,no_religion_female
C0100,00,000,00000,000000,INDIA,Total,1210854977,623270258,587584719,966257353,498306968,467950385,172245158,88273945,83971213,27819588,13751031,14068557,20833116,10948431,9884685,8442972,4296010,4146962,4451753,2278097,2173656,7937734,3952064,3985670,2867303,1463712,1403591
C0100,00,000,00000,000000,INDIA,Rural,833748852,427781058,405967794,684093951,351423647,332670304,103504739,52870001,50634738,16657065,8295745,8361320,14930792,7839048,7091744,4814849,2457022,2357827,904809,467577,437232,7199007,3583894,3615113,1643640,844124,799516
C0100,00,000,00000,000000,INDIA,Urban,377106125,195489200,181616925,282163402,146883321,135280081,68740419,35403944,33336475,11162523,5455286,5707237,5902324,3109383,2792941,3628123,1838988,1789135,3546944,1810520,1736424,738727,368170,370557,1223663,619588,604075
C0101,01,000,00000,000000,State - JAMMU & KASHMIR ,Total,12541302,6640662,5900640,3566674,1987021,1579653,8567485,4428774,4138711,35631,21523,14108,234848,132897,101951,112584,56442,56142,2490,1310,1180,1508,802,706,20082,11893,8189
C0101,01,000,00000,000000,State - JAMMU & KASHMIR ,Rural,9108060,4774477,4333583,2516370,1361954,1154416,6356473,3284844,3071629,15522,9591,5931,116731,65442,51289,87463,43724,43739,355,180,175,1266,664,602,13880,8078,5802
C0101,01,000,00000,000000,State - JAMMU & KASHMIR ,Urban,3433242,1866185,1567057,1050304,625067,425237,2211012,1143930,1067082,20109,11932,8177,118117,67455,50662,25121,12718,12403,2135,1130,1005,242,138,104,6202,3815,2387
C0101,02,000,00000,000000,State - HIMACHAL PRADESH ,Total,6864602,3481873,3382729,6532765,3306995,3225770,149881,80763,69118,12646,6844,5802,79896,41494,38402,78659,40233,38426,1805,945,860,856,461,395,8094,4138,3956
C0101,02,000,00000,000000,State - HIMACHAL PRADESH ,Rural,6176050,3110345,3065705,5911715,2973048,2938667,127901,67345,60556,8081,4426,3655,58217,29888,28329,61644,31295,30349,488,251,237,772,414,358,7232,3678,3554
C0101,02,000,00000,000000,State - HIMACHAL PRADESH ,Urban,688552,371528,317024,621050,333947,287103,21980,13418,8562,4565,2418,2147,21679,11606,10073,17015,8938,8077,1317,694,623,84,47,37,862,460,402
C0101,03,000,00000,000000,State - PUNJAB ,Total,27743338,14639465,13103873,10678138,5683894,4994244,535489,287534,247955,348230,182041,166189,16004754,8395797,7608957,33237,17176,16061,45040,23560,21480,10886,5735,5151,87564,43728,43836
C0101,03,000,00000,000000,State - PUNJAB ,Rural,17344192,9093476,8250716,4396066,2305842,2090224,278825,146824,132001,242977,126885,116092,12348455,6474159,5874296,23577,12090,11487,4366,2328,2038,6646,3467,3179,43280,21881,21399
C0101,03,000,00000,000000,State - PUNJAB ,Urban,10399146,5545989,4853157,6282072,3378052,2904020,256664,140710,115954,105253,55156,50097,3656299,1921638,1734661,9660,5086,4574,40674,21232,19442,4240,2268,1972,44284,21847,22437
C0101,04,000,00000,000000,State - CHANDIGARH ,Total,1055450,580663,474787,852574,472769,379805,51447,29889,21558,8720,4463,4257,138329,71300,67029,1160,593,567,1960,997,963,246,152,94,1014,500,514
C0101,04,000,00000,000000,State - CHANDIGARH ,Rural,28991,17150,11841,23207,13981,9226,1321,805,516,156,82,74,4258,2251,2007,8,3,5,13,7,6,16,14,2,12,7,5
C0101,04,000,00000,000000,State - CHANDIGARH ,Urban,1026459,563513,462946,829367,458788,370579,50126,29084,21042,8564,4381,4183,134071,69049,65022,1152,590,562,1947,990,957,230,138,92,1002,493,509
C0101,05,000,00000,000000,State - UTTARAKHAND ,Total,10086292,5137773,4948519,8368636,4234384,4134252,1406825,740057,666768,37781,19439,18342,236340,123579,112761,14926,8910,6016,9183,4747,4436,993,504,489,11608,6153,5455
C0101,05,000,00000,000000,State - UTTARAKHAND ,Rural,7036954,3519042,3517912,6031638,2993138,3038500,790857,414079,376778,16746,8703,8043,180370,93798,86572,7829,4351,3478,1021,510,511,692,358,334,7801,4105,3696
C0101,05,000,00000,000000,State - UTTARAKHAND ,Urban,3049338,1618731,1430607,2336998,1241246,1095752,615968,325978,289990,21035,10736,10299,55970,29781,26189,7097,4559,2538,8162,4237,3925,301,146,155,3807,2048,1759
C0101,06,000,00000,000000,State - HARYANA ,Total,25351462,13494734,11856728,22171128,11821082,10350046,1781342,940027,841315,50353,26165,24188,1243752,653468,590284,7514,4099,3415,52613,27358,25255,2548,1111,1437,42212,21424,20788
C0101,06,000,00000,000000,State - HARYANA ,Rural,16509359,8774006,7735353,14128537,7524114,6604423,1424576,747559,677017,17367,9235,8132,912937,479305,433632,2844,1562,1282,3515,1871,1644,1013,504,509,18570,9856,8714
C0101,06,000,00000,000000,State - HARYANA ,Urban,8842103,4720728,4121375,8042591,4296968,3745623,356766,192468,164298,32986,16930,16056,330815,174163,156652,4670,2537,2133,49098,25487,23611,1535,607,928,23642,11568,12074
C0101,07,000,00000,000000,State - NCT OF DELHI ,Total,16787941,8987326,7800615,13712100,7353594,6358506,2158684,1163934,994750,146093,71438,74655,570581,294403,276178,18449,9606,8843,166231,85605,80626,2197,1148,1049,13606,7598,6008
C0101,07,000,00000,000000,State - NCT OF DELHI ,Rural,419042,226321,192721,384028,207567,176461,29143,15703,13440,1132,580,552,4080,2105,1975,158,86,72,192,94,98,29,17,12,280,169,111
