"Table (45): Labour Force Participation Rate (LFPR), Worker Population Ratio (WPR) and Unemployment Rate (UR) by usual status (ps+ss) for each social group

all-India ",,,,,,,,,
,,,,,,,,,
sector,male,,female,,person,,,,
Indicator,rural,,,urban,,,rural + urban,,
,male,female ,person,male,female ,person,male,female ,person
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
social group: scheduled tribe ,,,,,,,,,
Labour Force Participation Rate (LFPR),,,,,,,,,
Labour Force Participation Rate (LFPR) for persons of 15 years and above,85.1,67.7,76.2,74.2,39.0,56.7,83.9,64.6,74.1
Labour Force Participation Rate (LFPR) for persons of all age,60.0,48.5,54.1,55.2,30.7,43.4,59.5,46.7,53.0
Worker Population Ratio (WPR),,,,,,,,,
Worker Population Ratio (WPR) for persons of 15 years and above,83.7,66.9,75.1,69.2,36.3,52.8,82.1,63.6,72.7
Worker Population Ratio (WPR) for persons of all age,59.0,47.9,53.4,51.5,28.6,40.4,58.2,46.0,52.0
Unemployment Rate (UR),,,,,,,,,
Unemployment Rate (UR) for persons of 15 years and above,1.6,1.2,1.4,6.7,7.0,6.8,2.2,1.5,1.9
Unemployment Rate (UR) for persons of all age,1.6,1.2,1.4,6.7,7.0,6.8,2.2,1.5,1.9
social group: scheduled caste  ,,,,,,,,,
Labour Force Participation Rate (LFPR),,,,,,,,,
Labour Force Participation Rate (LFPR) for persons of 15 years and above,80.7,47.2,63.9,77.6,32.1,55.1,79.9,43.4,61.7
Labour Force Participation Rate (LFPR) for persons of all age,57.1,34.4,45.9,59.6,25.0,42.6,57.7,32.2,45.1
Worker Population Ratio (WPR),,,,,,,,,
Worker Population Ratio (WPR) for persons of 15 years and above,78.2,46.2,62.1,73.8,30.0,52.1,77.1,42.2,59.6
Worker Population Ratio (WPR) for persons of all age,55.3,33.7,44.6,56.7,23.4,40.3,55.6,31.3,43.6
Unemployment Rate (UR),,,,,,,,,
Unemployment Rate (UR) for persons of 15 years and above,3.1,2.0,2.7,4.9,6.4,5.3,3.6,2.8,3.3
Unemployment Rate (UR) for persons of all age,3.1,2.0,2.7,4.9,6.4,5.3,3.6,2.8,3.3
social group: other backward classes  ,,,,,,,,,
Labour Force Participation Rate (LFPR),,,,,,,,,
Labour Force Participation Rate (LFPR) for persons of 15 years and above,79.7,46.8,63.0,75.7,27.4,51.7,78.5,41.2,59.7
Labour Force Participation Rate (LFPR) for persons of all age,57.1,35.0,46.1,58.4,21.5,40.1,57.5,31.2,44.4
Worker Population Ratio (WPR),,,,,,,,,
Worker Population Ratio (WPR) for persons of 15 years and above,77.6,45.8,61.5,72.5,25.4,49.0,76.1,39.9,57.8
Worker Population Ratio (WPR) for persons of all age,55.6,34.3,45.0,55.9,19.8,38.0,55.7,30.2,43.0
Unemployment Rate (UR),,,,,,,,,
Unemployment Rate (UR) for persons of 15 years and above,2.7,2.1,2.4,4.3,7.6,5.2,3.1,3.1,3.1
Unemployment Rate (UR) for persons of all age,2.7,2.1,2.4,4.3,7.6,5.2,3.1,3.1,3.1
social group: others   ,,,,,,,,,
Labour Force Participation Rate (LFPR),,,,,,,,,
Labour Force Participation Rate (LFPR) for persons of 15 years and above,78.2,38.0,58.0,74.6,25.8,50.7,76.6,32.7,54.7
Labour Force Participation Rate (LFPR) for persons of all age,59.5,29.8,44.7,59.8,21.2,41.1,59.6,26.2,43.2
Worker Population Ratio (WPR),,,,,,,,,
Worker Population Ratio (WPR) for persons of 15 years and above,75.9,36.7,56.1,71.6,24.1,48.3,74.0,31.2,52.7
Worker Population Ratio (WPR) for persons of all age,57.7,28.8,43.3,57.4,19.7,39.1,57.6,24.9,41.5
Unemployment Rate (UR),,,,,,,,,
Unemployment Rate (UR) for persons of 15 years and above,2.9,3.5,3.1,4.0,6.9,4.8,3.4,4.7,3.8
Unemployment Rate (UR) for persons of all age,3.0,3.5,3.1,4.0,6.9,4.8,3.4,4.7,3.8
social group: all ,,,,,,,,,
Labour Force Participation Rate (LFPR),,,,,,,,,
Labour Force Participation Rate (LFPR) for persons of 15 years and above,80.2,47.6,63.7,75.6,28.0,52.0,78.8,41.7,60.1
Labour Force Participation Rate (LFPR) for persons of all age,57.9,35.5,46.8,59.0,22.3,41.0,58.2,31.7,45.1
Worker Population Ratio (WPR),,,,,,,,,
Worker Population Ratio (WPR) for persons of 15 years and above,78.1,46.5,62.1,72.3,26.0,49.4,76.3,40.3,58.2
Worker Population Ratio (WPR) for persons of all age,56.3,34.8,45.6,56.4,20.7,38.9,56.4,30.7,43.7
Unemployment Rate (UR),,,,,,,,,
Unemployment Rate (UR) for persons of 15 years and above,2.7,2.1,2.5,4.4,7.1,5.1,3.2,3.2,3.2
Unemployment Rate (UR) for persons of all age,2.7,2.1,2.5,4.4,7.1,5.1,3.2,3.1,3.2
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
