State,2001,2004,2009,2014,2019,2024
Andhra Pradesh,TDP,INC,INC,TDP,YSRCP,TDP
Arunachal Pradesh,INC,INC,INC,BJP,BJP,BJP
Assam,AGP,INC,INC,BJP,BJP,BJP
Bihar,RJD,INC-RJD,BJP-JD(U),BJP-JD(U),NDA (JD(U)),NDA (JD(U))
Chhattisgarh,N/A,INC,INC,BJP,INC,BJP
Delhi,INC,INC,AAP,Delhi (UT),AAP,BJP
Goa,INC,INC,BJP,BJP,BJP,BJP
Gujarat,INC,BJP,BJP,BJP,BJP,BJP
Haryana,INLD,INC,INC,BJP-JJP,BJP,BJP
Himachal Pradesh,INC,INC,INC,BJP,INC,BJP? (2022 INC)
Jharkhand,N/A,N/A,JMM-JD(U),BJP,JMM,JMM
Karnataka,INC,INC,INC? (BJP),INC,BJP,INC
Kerala,LDF, LDF (CPI(M)),LDF (CPI(M)),LDF,LDF,LDF
Madhya Pradesh,INC,INC,BJP,BJP,INC,BJP
Maharashtra,INC-NCP,INC-NCP,INC-NCP,BJP-SS,BJP (split),BJP
Manipur,INC,INC,INC,BJP,BJP,President's Rule
Meghalaya,INC? (NCP),INC,NCP,INC, (NPP-led),NPP
Mizoram,MNF,INC,INC,MNF (ZPM),ZPM,ZPM
Nagaland,NDPP,NDPP,NDPP (NPF),NDPP,NDPP,NPF
Odisha,BDP (BJD),BJD,BJD,BJD,BJD,BJP
Punjab,Shiromani Akali Dal,INC,INC,AAP,AAP,AAP
Rajasthan,INC,INC,INC,BJP,BJP,INC? (2023 INC)
Sikkim,SDF,SDF,SDF,SDF,SKM,SKM
Tamil Nadu,DMK,DMK,AIADMK,AIADMK,DMK,DMK
Telangana,N/A,N/A,TRS (BRS),TRS,BRS,INC
Tripura,CPM,CPM,CPM,BJP,BJP,BJP
Uttar Pradesh,BSP,SP,BSP,BJP,BJP,BJP
Uttarakhand,INC? (BJP),INC,INC,BJP,BJP,BJP
West Bengal,Trinamool Congress? (Left),Trinamool,Trinamool,Trinamool,Trinamool,Trinamool
